"region","predicted_bin","bin_area_ha","bin_risk_percentage"
"high_himalaya","Very Low",4911.39313613216,4.05140236749493
"high_mountains","Very Low",714328.778620015,41.6376501201555
"middle_mountains","Very Low",1142798.84688531,41.2547349125285
"siwalik","Very Low",865991.260310427,62.1575029046738
"terai","Very Low",313559.636728127,78.1596726423234
"high_himalaya","Low",60589.5778927451,49.9802708755466
"high_mountains","Low",485485.238409196,28.2985441723823
"middle_mountains","Low",734904.056740643,26.5298413011259
"siwalik","Low",278270.612485539,19.973188179353
"terai","Low",41849.4135154954,10.4316247294304
"high_himalaya","Medium",48940.6945410422,40.3711208275568
"high_mountains","Medium",195289.347272949,11.3832590220617
"middle_mountains","Medium",326817.017618114,11.7980075526726
"siwalik","Medium",98687.5777508138,7.08341259529865
"terai","Medium",14657.5927456961,3.65363559762454
"high_himalaya","High",6619.84431523158,5.46070171696705
"high_mountains","High",242834.348845241,14.1546189331852
"middle_mountains","High",437867.788558541,15.8069108950812
"siwalik","High",107001.222106571,7.68013382895885
"terai","High",19130.0182484223,4.76845801819439
"high_himalaya","Very High",165.479947729644,0.136504212434681
"high_mountains","Very High",77646.0831490906,4.52592775221523
"middle_mountains","Very High",127715.768763821,4.61050533859173
"siwalik","Very High",43270.12908724,3.1057624917157
"terai","Very High",11981.6269097134,2.98660901242728
