"province","predicted_bin","bin_area_ha","risk_percentage_bins"
1,"Very Low",536435.185282627,44.6542221813913
2,"Very Low",185685.591211991,75.0824069604119
3,"Very Low",542614.131672836,45.7425551460732
4,"Very Low",352901.568699,42.4120870006323
5,"Very Low",561192.281357398,53.4646813051992
6,"Very Low",334491.095624011,39.1142247604491
7,"Very Low",531823.763115998,51.8033529721339
1,"Low",293695.82263984,24.4479834241228
2,"Low",35274.5305431999,14.2633396608481
3,"Low",301854.764152435,25.4464588911091
4,"Low",226282.313836055,27.1948498741438
5,"Low",243902.162332273,23.2365123540237
6,"Low",249045.020556052,29.1224580771794
7,"Low",242152.686819156,23.5873647972124
1,"Medium",136629.176223918,11.3733583458902
2,"Medium",11048.1411440055,4.46734194137474
3,"Medium",128371.992864326,10.8218024928777
4,"Medium",100780.795152658,12.1119434741111
5,"Medium",97174.1295234431,9.25776073312087
6,"Medium",105774.077835286,12.3688525895146
7,"Medium",98013.7183571236,9.54722146753328
1,"High",176194.041314644,14.6668378282385
2,"High",11101.6234174032,4.48896762482279
3,"High",157692.143737864,13.2935011456371
4,"High",116923.206071418,14.0519556390056
5,"High",112548.78226035,10.7225009586432
6,"High",127541.368939006,14.914243865383
7,"High",118749.893305442,11.5670698922178
1,"Very High",58354.7640977999,4.85759822035713
2,"Very High",4199.16879919587,1.69794381254246
3,"Very High",55701.8203044528,4.69568232430288
4,"Very High",35189.9356929957,4.2291640121072
5,"Very High",34833.1196764268,3.31854464901306
6,"Very High",38313.2720195352,4.4802207074739
7,"Very High",35880.2874790618,3.49499087090259
