districts,risk_classes,percentage_risk
Achham,High,16.45472142
Arghakhanchi,High,15.45387482
Baglung,High,12.43548992
Baitadi,High,14.14920725
Bajhang,High,12.36764524
Bajura,High,14.79265152
Banke,High,3.042941604
Bara,High,2.768659399
Bardiya,High,4.576931165
Bhaktapur,High,15.54243957
Bhojpur,High,16.86661745
Chitawan,High,8.277295726
Dadeldhura,High,9.90309266
Dailekh,High,14.29511334
Dang,High,7.281348364
Darchula,High,14.19588208
Dhading,High,15.53583623
Dhankuta,High,19.80124304
Dhanusha,High,4.053455405
Dolakha,High,15.71142531
Dolpa,High,22.50375411
Doti,High,12.79541507
Gorkha,High,16.46838545
Gulmi,High,17.29766298
Humla,High,17.55597611
Ilam,High,17.70427411
Jajarkot,High,14.10391809
Jhapa,High,17.22786062
Jumla,High,21.41534616
Kabhrepalanchok,High,15.77726218
Kailali,High,7.728602303
Kalikot,High,17.41973781
Kanchanpur,High,4.00005741
Kapilbastu,High,5.625664494
Kaski,High,14.40307651
Kathmandu,High,12.87407349
Khotang,High,18.16015938
Lalitpur,High,13.08775973
Lamjung,High,12.99362736
Mahottari,High,2.185102003
Makawanpur,High,10.36631229
Manang,High,12.33864844
Morang,High,9.798563398
Mugu,High,15.24801298
Mustang,High,9.382472922
Myagdi,High,9.984507016
Nawalpur,High,11.38305782
Nuwakot,High,16.89565024
Okhaldhunga,High,15.6011073
Palpa,High,14.78980751
Panchthar,High,13.95542049
Parasi,High,11.39162562
Parbat,High,13.14016501
Parsa,High,3.003006182
Pyuthan,High,14.92351377
Ramechhap,High,17.51334944
Rasuwa,High,15.42161476
Rautahat,High,4.463344345
Rolpa,High,11.41026175
Rukum East,High,12.471303
Rukum West,High,13.00652054
Rupandehi,High,10.55872634
Salyan,High,13.16476366
Sankhuwasabha,High,12.35564345
Saptari,High,6.900119941
Sarlahi,High,5.350127109
Sindhuli,High,10.71307499
Sindhupalchok,High,15.21905085
Siraha,High,12.73199468
Solukhumbu,High,12.32358054
Sunsari,High,7.419037451
Surkhet,High,11.31635993
Syangja,High,17.79224694
Tanahu,High,16.10189765
Taplejung,High,14.00269168
Terhathum,High,23.59424431
Udayapur,High,11.03976554
Achham,Low,26.22515454
Arghakhanchi,Low,27.68929578
Baglung,Low,27.37459597
Baitadi,Low,27.90304967
Bajhang,Low,30.38870308
Bajura,Low,27.11305121
Banke,Low,11.29084074
Bara,Low,9.803522224
Bardiya,Low,14.52116976
Bhaktapur,Low,17.87521079
Bhojpur,Low,26.52680366
Chitawan,Low,21.13449462
Dadeldhura,Low,20.95471676
Dailekh,Low,27.469745
Dang,Low,20.56235481
Darchula,Low,31.37720656
Dhading,Low,27.77808303
Dhankuta,Low,25.78499288
Dhanusha,Low,14.60794448
Dolakha,Low,28.69543788
Dolpa,Low,36.37590526
Doti,Low,21.60502501
Gorkha,Low,27.61939252
Gulmi,Low,27.72816728
Humla,Low,34.58844348
Ilam,Low,26.56999581
Jajarkot,Low,27.83601435
Jhapa,Low,16.30088301
Jumla,Low,35.89005251
Kabhrepalanchok,Low,25.18139633
Kailali,Low,19.9766181
Kalikot,Low,30.26772509
Kanchanpur,Low,13.43758073
Kapilbastu,Low,14.50869813
Kaski,Low,28.40954964
Kathmandu,Low,26.07713346
Khotang,Low,25.23259874
Lalitpur,Low,24.919154
Lamjung,Low,25.95825953
Mahottari,Low,10.64476886
Makawanpur,Low,23.35312636
Manang,Low,35.83902809
Morang,Low,18.0180356
Mugu,Low,35.92651159
Mustang,Low,34.54775637
Myagdi,Low,30.43587347
Nawalpur,Low,21.69869934
Nuwakot,Low,26.92526977
Okhaldhunga,Low,28.16207487
Palpa,Low,26.95043833
Panchthar,Low,24.20171191
Parasi,Low,18.16927128
Parbat,Low,26.77586291
Parsa,Low,19.51477687
Pyuthan,Low,28.6438985
Ramechhap,Low,27.37766206
Rasuwa,Low,31.45866009
Rautahat,Low,10.4168131
Rolpa,Low,28.4948608
Rukum East,Low,33.35835683
Rukum West,Low,29.16804148
Rupandehi,Low,18.61670171
Salyan,Low,26.62352548
Sankhuwasabha,Low,23.85636217
Saptari,Low,12.49500247
Sarlahi,Low,17.48324474
Sindhuli,Low,23.03169407
Sindhupalchok,Low,28.52707918
Siraha,Low,18.66725787
Solukhumbu,Low,28.89006747
Sunsari,Low,15.88059202
Surkhet,Low,24.51821312
Syangja,Low,28.93832519
Tanahu,Low,27.34351487
Taplejung,Low,25.85203658
Terhathum,Low,27.28084498
Udayapur,Low,19.84503827
Achham,Medium,12.44198389
Arghakhanchi,Medium,11.95831048
Baglung,Medium,11.23948642
Baitadi,Medium,10.8659602
Bajhang,Medium,11.61550849
Bajura,Medium,11.91852948
Banke,Medium,3.081830837
Bara,Medium,2.713549778
Bardiya,Medium,4.280358787
Bhaktapur,Medium,8.712759978
Bhojpur,Medium,11.34797588
Chitawan,Medium,7.540780706
Dadeldhura,Medium,7.849045881
Dailekh,Medium,11.4121658
Dang,Medium,7.294924527
Darchula,Medium,13.11761401
Dhading,Medium,12.69083745
Dhankuta,Medium,13.03088178
Dhanusha,Medium,4.359864146
Dolakha,Medium,12.89837661
Dolpa,Medium,19.07848467
Doti,Medium,9.623991366
Gorkha,Medium,13.13664453
Gulmi,Medium,13.01230012
Humla,Medium,16.11325485
Ilam,Medium,12.76101908
Jajarkot,Medium,11.63470686
Jhapa,Medium,8.972996739
Jumla,Medium,18.80683843
Kabhrepalanchok,Medium,10.94705758
Kailali,Medium,7.191563886
Kalikot,Medium,12.70411397
Kanchanpur,Medium,4.133536183
Kapilbastu,Medium,4.870645156
Kaski,Medium,13.11199088
Kathmandu,Medium,9.104601847
Khotang,Medium,11.54059438
Lalitpur,Medium,10.09552838
Lamjung,Medium,11.33774985
Mahottari,Medium,2.629608834
Makawanpur,Medium,9.175722135
Manang,Medium,32.17539863
Morang,Medium,7.848610244
Mugu,Medium,13.48882693
Mustang,Medium,48.12209875
Myagdi,Medium,11.24276315
Nawalpur,Medium,8.944194905
Nuwakot,Medium,12.80801535
Okhaldhunga,Medium,11.72225152
