"districts","risk_classes","total_frequency","total_area_sq_m","total_area_sq_km","percentage_risk"
"Achham","High",39530,395300000,395.3,16.4547214186109
"Arghakhanchi","High",32680,326800000,326.8,15.4538748179394
"Baglung","High",27855,278550000,278.55,12.4354899194628
"Baitadi","High",27986,279860000,279.86,14.1492072480181
"Bajhang","High",24961,249610000,249.61,12.3676452372105
"Bajura","High",28601,286010000,286.01,14.7926515159352
"Banke","High",5399,53990000,53.99,3.04294160415269
"Bara","High",2311,23110000,23.11,2.76865939858632
"Bardiya","High",6312,63120000,63.12,4.57693116475357
"Bhaktapur","High",1106,11060000,11.06,15.5424395727937
"Bhojpur","High",32898,328980000,328.98,16.8666174480128
"Chitawan","High",18993,189930000,189.93,8.27729572603385
"Dadeldhura","High",26488,264880000,264.88,9.9030926601663
"Dailekh","High",28680,286800000,286.8,14.2951133440995
"Dang","High",28962,289620000,289.62,7.28134836432386
"Darchula","High",14403,144030000,144.03,14.1958820804463
"Dhading","High",39585,395850000,395.85,15.5358362310536
"Dhankuta","High",24468,244680000,244.68,19.8012430402693
"Dhanusha","High",2196,21960000,21.96,4.05345540460721
"Dolakha","High",25502,255020000,255.02,15.711425314974
"Dolpa","High",11839,118390000,118.39,22.5037541105134
"Doti","High",42799,427990000,427.99,12.7954150684481
"Gorkha","High",42746,427460000,427.46,16.4683854463639
"Gulmi","High",28126,281260000,281.26,17.2976629766298
"Humla","High",14286,142860000,142.86,17.5559761103055
"Ilam","High",45614,456140000,456.14,17.7042741146699
"Jajarkot","High",32318,323180000,323.18,14.1039180944567
"Jhapa","High",9404,94040000,94.04,17.2278606236031
"Jumla","High",36665,366650000,366.65,21.415346155868
"Kabhrepalanchok","High",29920,299200000,299.2,15.7772621809745
"Kailali","High",33186,331860000,331.86,7.72860230279092
"Kalikot","High",34628,346280000,346.28,17.4197378084976
"Kanchanpur","High",5574,55740000,55.74,4.00005741022476
"Kapilbastu","High",7302,73020000,73.02,5.62566449406
"Kaski","High",20337,203370000,203.37,14.4030765090404
"Kathmandu","High",3248,32480000,32.48,12.8740734868604
"Khotang","High",35368,353680000,353.68,18.1601593789152
"Lalitpur","High",7042,70420000,70.42,13.0877597293982
"Lamjung","High",20614,206140000,206.14,12.9936273613746
"Mahottari","High",934,9340000,9.34,2.18510200262025
"Makawanpur","High",37901,379010000,379.01,10.3663122885424
"Manang","High",1300,1.3e+07,13,12.338648443432
"Morang","High",10040,100400000,100.4,9.79856339787633
"Mugu","High",14657,146570000,146.57,15.24801298323
"Mustang","High",667,6670000,6.67,9.38247292164862
"Myagdi","High",15918,159180000,159.18,9.98450701575015
"Nawalpur","High",22352,223520000,223.52,11.3830578217781
"Nuwakot","High",24300,2.43e+08,243,16.8956502391812
"Okhaldhunga","High",18936,189360000,189.36,15.6011073029264
"Palpa","High",37588,375880000,375.88,14.7898075137322
"Panchthar","High",25532,255320000,255.32,13.9554204882102
"Parasi","High",5365,53650000,53.65,11.3916256157635
"Parbat","High",10766,107660000,107.66,13.1401650148904
"Parsa","High",2837,28370000,28.37,3.0030061817258
"Pyuthan","High",26594,265940000,265.94,14.9235137652776
"Ramechhap","High",25156,251560000,251.56,17.513349438523
"Rasuwa","High",10324,103240000,103.24,15.4216147583837
"Rautahat","High",2540,25400000,25.4,4.46334434525901
"Rolpa","High",27420,274200000,274.2,11.4102617452457
"Rukum East","High",14287,142870000,142.87,12.4713029967091
"Rukum West","High",16556,165560000,165.56,13.0065205436405
"Rupandehi","High",5624,56240000,56.24,10.5587263442475
"Salyan","High",32733,327330000,327.33,13.1647636552298
"Sankhuwasabha","High",37735,377350000,377.35,12.3556434528351
"Saptari","High",2934,29340000,29.34,6.90011994073517
"Sarlahi","High",2778,27780000,27.78,5.3501271088514
"Sindhuli","High",38554,385540000,385.54,10.7130749865232
"Sindhupalchok","High",35885,358850000,358.85,15.2190508503329
"Siraha","High",4020,40200000,40.2,12.7319946791664
"Solukhumbu","High",25095,250950000,250.95,12.3235805415599
"Sunsari","High",3544,35440000,35.44,7.41903745106659
"Surkhet","High",39936,399360000,399.36,11.3163599268925
"Syangja","High",29512,295120000,295.12,17.792246940375
"Tanahu","High",41730,417300000,417.3,16.1018976547488
"Taplejung","High",35375,353750000,353.75,14.0026916834897
"Terhathum","High",18496,184960000,184.96,23.5942443106439
"Udayapur","High",35108,351080000,351.08,11.0397655449131
"Achham","Low",63002,630020000,630.02,26.2251545361833
"Arghakhanchi","Low",58554,585540000,585.54,27.6892957799762
"Baglung","Low",61318,613180000,613.18,27.3745959749281
"Baitadi","Low",55190,551900000,551.9,27.9030496683385
"Bajhang","Low",61332,613320000,613.32,30.3887030843553
"Bajura","Low",52422,524220000,524.22,27.113051213886
"Banke","Low",20033,200330000,200.33,11.2908407401354
